cnt,flyState,setpoint.h [m],setpoint.pitch [deg],setpoint.roll [deg],setpoint.yaw [deg],motval_avg [frac],motval_0 [frac],motval_1 [frac],motval_2 [frac],motval_3 [frac],hor_velocities.xv,hor_velocities.yv,hor_velocities.dt,hor_velocities.seqNum,att.ts [s],att.ax [m/s^2],att.ay [m/s^2],att.az [m/s^2],att.gx [deg/s],att.filtered_gx [deg/s],att.gx_bias_kalman [deg/s],att.gy [deg/s],att.filtered_gy [deg/s],att.gy_bias_kalman [deg/s],att.gz [deg/s],att.hv [m/sec],att.h [m],att.pitch [deg],att.pitch_vel_kalman [deg/s],att.roll [deg],att.roll_vel_kalman [deg/s],att.yaw [deg],att.magx [deg],att.magy [deg],att.magz [deg],xPos [m],yPos [m],targetXVel [m/s],targetYVel [m/s],targetPitch [deg],targetRoll [deg],targetPitchVel [deg/s],targetRollVel [deg/s],adj_pitch,adj_roll,adj_yaw,adj_h
270,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.434692,-0.809325,0.971803,-9.595791,-10.021057,-10.495745,-0.350232,1.403546,0.593155,-0.165904,-1.846980,0.034004,1.227060,-4.370198,-1.643321,4.994252,-7.903494,5.084362,-63.000000,91.000000,27.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
271,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.439819,-0.809325,0.971803,-9.672431,-9.532761,-10.146433,-0.369022,1.708732,1.071145,-0.153657,-1.846980,0.021249,1.227060,-4.375489,-1.467838,4.962002,-8.008021,5.074893,-63.000000,91.000000,27.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
272,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.444854,-0.809325,0.971803,-9.672431,-9.044465,-9.736084,-0.387598,2.258065,1.542531,-0.141246,-1.908017,0.021249,1.227060,-4.378768,-1.274028,4.931598,-8.077974,5.065286,-64.000000,86.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
273,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.449768,-0.809325,0.971803,-9.672431,-8.617206,-9.302222,-0.405935,2.807398,2.037831,-0.128626,-1.969054,0.021249,1.227060,-4.379961,-1.061583,4.903139,-8.114109,5.055610,-64.000000,86.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
274,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.454772,-0.809325,0.971803,-9.672431,-8.067873,-8.817227,-0.423973,3.234657,2.505515,-0.115816,-1.908017,0.021249,1.227060,-4.379174,-0.833512,4.876819,-8.115376,5.046062,-60.000000,90.000000,22.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
275,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.459747,-0.809325,0.971803,-9.672431,-7.640614,-8.342539,-0.441727,3.661916,2.993811,-0.102773,-1.663869,0.021249,1.227060,-4.376346,-0.589547,4.852614,-8.084722,5.037785,-60.000000,90.000000,22.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
276,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.464691,-0.732684,0.971803,-9.672431,-7.335429,-7.908676,-0.459252,4.150212,3.461895,-0.098433,-1.480758,0.021249,1.227060,-4.363754,-0.323084,4.830386,-8.026856,5.030463,-65.000000,87.000000,27.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
277,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.469726,-0.732684,0.971803,-9.672431,-7.091281,-7.528846,-0.476610,4.516434,3.892456,-0.093658,-1.175573,0.021249,1.227060,-4.349484,-0.046643,4.809948,-7.947023,5.024545,-65.000000,87.000000,27.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
278,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.474700,-0.732684,0.971803,-9.672431,-7.030244,-7.267788,-0.493944,5.004731,4.333324,-0.088424,-0.687277,0.021249,1.227060,-4.333512,0.239743,4.790877,-7.854268,5.021126,-62.000000,86.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
279,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.479858,-0.732684,0.971803,-9.672431,-6.908170,-7.087979,-0.511342,5.309916,4.746974,-0.082751,-0.137944,0.004250,1.227400,-4.315946,0.533645,4.772878,-7.754642,5.020415,-62.000000,86.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
280,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.484863,-0.732684,0.895162,-9.672431,-6.847133,-6.969207,-0.520296,5.554064,5.102890,-0.076697,0.289315,0.004250,1.227400,-4.297007,0.830837,4.748104,-7.661113,5.021863,-62.000000,86.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
281,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.489807,-0.732684,0.895162,-9.672431,-6.786096,-6.891260,-0.529632,5.554064,5.363948,-0.070363,0.594501,0.004250,1.227400,-4.277052,1.124997,4.724142,-7.567630,5.024802,-62.000000,86.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
282,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.494781,-0.732684,0.895162,-9.672431,-6.908170,-6.857439,-0.539382,5.370953,5.458806,-0.063932,1.082797,0.004250,1.227400,-4.256692,1.405654,4.700818,-7.477014,5.030188,-66.000000,96.000000,24.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
283,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.499786,-0.732684,0.895162,-9.672431,-7.213355,-6.928783,-0.549646,5.248879,5.435292,-0.057525,1.387982,0.004250,1.227400,-4.236376,1.666086,4.677740,-7.395803,5.037134,-66.000000,96.000000,24.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
284,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.504730,-0.732684,0.895162,-9.672431,-7.152318,-7.019937,-0.560423,4.760583,5.241874,-0.051323,1.876278,0.004250,1.227400,-4.216739,1.896719,4.654816,-7.324644,5.046411,-60.000000,84.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
285,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.509735,-0.732684,0.895162,-9.672431,-7.091281,-7.101187,-0.571679,4.455397,4.963906,-0.045400,2.181463,0.004250,1.227400,-4.198114,2.094071,4.632063,-7.262237,5.057329,-60.000000,84.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
286,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.514709,-0.809325,0.895162,-9.672431,-6.908170,-7.094583,-0.583289,3.967101,4.607990,-0.031694,2.425611,0.004250,1.227400,-4.188225,2.247151,4.609781,-7.202377,5.069394,-57.000000,95.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
287,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.519866,-0.809325,0.895162,-9.672431,-7.030244,-7.040550,-0.595181,3.234657,4.115991,-0.018679,2.791833,-0.012749,1.226040,-4.180056,2.357977,4.588125,-7.141858,5.083791,-57.000000,95.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
288,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.524871,-0.809325,0.895162,-9.672431,-7.030244,-7.010032,-0.607365,2.563250,3.560054,-0.006401,3.219092,-0.012749,1.226040,-4.173868,2.425227,4.567002,-7.082225,5.099903,-61.000000,91.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
289,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.529815,-0.809325,0.895162,-9.672431,-7.152318,-7.030244,-0.619883,2.135991,2.966995,0.005121,3.524277,-0.012749,1.226040,-4.169825,2.449388,4.546215,-7.026666,5.117327,-61.000000,91.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
290,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.534820,-0.809325,0.895162,-9.672431,-7.274392,-7.118498,-0.632795,1.586657,2.376837,0.015912,3.951536,-0.012749,1.226040,-4.167940,2.433485,4.525507,-6.979271,5.137104,-55.000000,93.000000,21.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
291,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.539825,-0.809325,0.895162,-9.672431,-7.640614,-7.267788,-0.646151,1.220435,1.874932,0.026086,4.317759,-0.012749,1.226040,-4.167915,2.385814,4.504642,-6.943409,5.158714,-55.000000,93.000000,21.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
292,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.544738,-0.809325,0.818521,-9.672431,-8.128910,-7.539153,-0.652371,0.732139,1.417155,0.035703,4.500870,-0.012749,1.226040,-4.169603,2.311302,4.475970,-6.933874,5.180827,-59.000000,89.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
293,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.549743,-0.809325,0.818521,-9.595791,-8.434095,-7.871154,-0.660040,0.304880,0.962679,0.045420,4.561907,-0.012749,1.226040,-4.173608,2.211293,4.447168,-6.944741,5.203660,-59.000000,89.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
294,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.554718,-0.809325,0.818521,-9.595791,-8.800317,-8.254286,-0.668525,0.060732,0.572943,0.054651,4.683981,-0.012749,1.226040,-4.179087,2.092250,4.417410,-6.978559,5.226962,-64.000000,92.000000,26.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
295,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.559875,-0.809325,0.741881,-9.595791,-9.166539,-8.630814,-0.670225,-0.183416,0.223631,0.063444,4.989166,-0.055251,1.222980,-4.185896,1.958034,4.379542,-7.040981,5.252691,-64.000000,92.000000,26.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
296,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.564910,-0.809325,0.741881,-9.595791,-9.532761,-8.983429,-0.672850,-0.366527,-0.047734,0.071882,4.867092,-0.055251,1.222980,-4.193753,1.814660,4.340902,-7.121282,5.277197,-69.000000,87.000000,27.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
297,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946686749.569824,-0.809325,0.741881,-9.595791,-9.410687,-9.240784,-0.676278,-0.488601,-0.247755,0.080038,4.867092,-0.055251,1.222980,-4.202393,1.667326,4.301824,-7.212147,5.301114,-69.000000,87.000000,27.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
