seq,gx,gy,gz,ax,ay,az,mx,my,mz
3287,-0.041,-0.147,0.031,0.03,-0.01,-9.77,53,-53,3
3288,-0.041,-0.025,0.031,0.10,-0.01,-9.77,52,-50,10
3289,-0.041,0.036,0.031,0.03,-0.01,-9.77,52,-50,10
3290,0.020,-0.086,-0.030,0.03,-0.01,-9.85,48,-54,8
3291,0.020,0.097,-0.091,0.03,-0.01,-9.85,48,-54,8
3292,0.020,-0.025,0.092,0.03,-0.01,-9.85,54,-56,8
3293,-0.041,-0.025,0.031,-0.05,-0.01,-9.85,54,-56,8
3294,-0.041,-0.086,-0.030,-0.05,0.07,-9.85,55,-55,9
3295,0.081,0.036,0.031,-0.05,0.07,-9.85,55,-55,9
3296,0.081,0.036,-0.030,-0.05,0.07,-9.77,50,-50,6
3297,-0.041,-0.025,0.031,-0.05,0.07,-9.77,50,-50,6
3298,-0.041,-0.025,0.031,-0.05,0.07,-9.77,47,-55,7
3299,-0.102,0.097,0.031,-0.05,-0.01,-9.77,47,-55,7
3300,0.020,-0.025,-0.030,-0.05,-0.01,-9.77,47,-51,13
3301,0.020,0.036,0.031,-0.05,-0.01,-9.77,47,-51,13
3302,0.081,-0.025,0.092,-0.05,-0.01,-9.77,50,-56,12
3303,-0.102,0.036,0.031,0.03,-0.01,-9.77,50,-56,12
3304,0.081,0.036,-0.030,0.03,-0.01,-9.77,47,-55,11
3305,0.020,0.036,-0.030,0.03,-0.01,-9.77,47,-55,11
3306,0.020,-0.086,0.092,0.03,-0.01,-9.85,47,-53,11
3307,-0.041,-0.025,0.031,0.03,-0.01,-9.85,47,-53,11
3308,0.020,-0.025,-0.091,-0.05,-0.01,-9.85,48,-56,6
3309,-0.041,-0.025,0.031,-0.05,-0.01,-9.85,48,-56,6
3310,-0.041,-0.025,-0.030,-0.05,-0.01,-9.85,49,-55,13
3311,-0.102,0.097,-0.091,-0.05,-0.01,-9.85,49,-55,13
3312,0.020,-0.086,-0.030,-0.05,-0.01,-9.77,50,-46,12
3313,-0.102,0.036,-0.030,-0.05,-0.01,-9.77,50,-46,12
3314,0.020,0.036,-0.091,-0.05,-0.01,-9.77,51,-51,11
3315,0.020,-0.025,-0.030,-0.05,-0.01,-9.77,51,-51,11
3316,-0.041,0.036,0.031,0.03,-0.01,-9.77,45,-53,7
3317,-0.041,-0.086,-0.030,0.03,-0.01,-9.77,45,-53,7
3318,-0.102,0.036,-0.030,0.03,-0.01,-9.77,48,-54,8
3319,-0.102,0.036,-0.091,-0.05,-0.01,-9.77,48,-54,8
3320,-0.041,-0.086,0.031,-0.05,-0.01,-9.77,54,-50,12
3321,0.020,0.036,0.092,-0.05,-0.01,-9.77,54,-50,12
