seq,gx,gy,gz,ax,ay,az,mx,my,mz
26351,0.003,-0.005,-0.062,-0.00,-0.03,-9.84,-16,-4,2
26352,0.064,-0.005,-0.062,-0.00,-0.03,-9.84,-17,-3,7
26353,-0.058,0.056,-0.062,-0.00,-0.03,-9.84,-17,-3,7
26354,0.003,-0.005,-0.123,0.07,-0.03,-9.84,-14,-6,4
26355,0.064,-0.005,-0.001,-0.00,-0.03,-9.84,-14,-6,4
26356,-0.058,-0.005,0.060,-0.00,-0.03,-9.84,-8,-4,6
26357,-0.119,-0.005,-0.062,-0.00,-0.03,-9.84,-8,-4,6
26358,-0.058,-0.005,0.060,-0.00,-0.03,-9.84,-8,-8,8
26359,0.125,-0.066,-0.062,-0.00,-0.03,-9.84,-8,-8,8
26360,0.064,0.056,0.121,-0.00,-0.03,-9.84,-6,-2,8
26361,-0.119,-0.066,-0.062,-0.00,-0.03,-9.84,-6,-2,8
26362,0.064,-0.005,-0.062,-0.00,-0.03,-9.84,-7,-3,1
26363,-0.058,-0.066,-0.001,-0.00,-0.03,-9.84,-7,-3,1
26364,0.125,-0.127,-0.001,-0.00,-0.03,-9.84,-8,-6,6
26365,0.064,-0.005,-0.062,-0.00,-0.03,-9.84,-8,-6,6
26366,0.003,0.056,-0.062,-0.00,-0.03,-9.84,-15,-5,3
26367,0.003,0.056,0.060,-0.00,-0.03,-9.84,-15,-5,3
26368,0.003,0.117,-0.123,-0.00,-0.03,-9.77,-7,-5,-1
26369,-0.119,0.056,-0.001,-0.00,0.05,-9.77,-7,-5,-1
26370,0.003,-0.005,0.060,-0.00,0.05,-9.84,-16,-4,4
26371,0.064,-0.127,-0.001,-0.00,0.05,-9.84,-16,-4,4
26372,0.003,-0.127,-0.001,-0.00,0.05,-9.84,-9,-9,5
26373,0.003,-0.005,-0.062,-0.00,0.05,-9.84,-9,-9,5
26374,-0.058,0.056,-0.062,-0.00,0.05,-9.84,-8,0,4
26375,0.003,0.056,-0.001,-0.00,0.05,-9.84,-8,0,4
26376,0.003,0.056,0.060,-0.00,0.05,-9.84,-15,-7,1
26377,-0.058,-0.005,-0.001,-0.00,0.05,-9.84,-15,-7,1
26378,0.003,-0.066,-0.001,-0.00,-0.03,-9.84,-12,-6,0
26379,0.064,-0.005,0.060,-0.00,0.05,-9.84,-12,-6,0
26380,0.003,-0.066,-0.001,-0.00,-0.03,-9.84,-12,-4,0
26381,0.003,-0.005,-0.001,-0.00,-0.03,-9.77,-12,-4,0
26382,0.003,-0.005,-0.001,-0.00,-0.03,-9.77,-13,-3,1
26383,0.125,-0.005,0.060,-0.00,-0.03,-9.77,-13,-3,1
26384,0.064,-0.066,0.121,-0.00,-0.03,-9.84,-10,-2,2
