seq,gx,gy,gz,ax,ay,az,mx,my,mz
26385,0.125,-0.005,-0.001,-0.00,-0.03,-9.77,-10,-2,2
26386,-0.058,0.117,0.121,-0.00,-0.03,-9.77,-13,-11,1
26387,0.003,0.117,0.060,-0.00,-0.03,-9.77,-13,-11,1
26388,0.125,0.117,-0.062,-0.00,-0.03,-9.77,-14,-2,0
26389,0.003,-0.066,0.060,-0.00,-0.03,-9.77,-14,-2,0
26390,0.003,-0.066,0.060,-0.00,-0.03,-9.84,-8,-6,4
26391,0.064,-0.005,-0.062,-0.00,-0.03,-9.84,-8,-6,4
26392,-0.119,-0.127,-0.001,-0.00,-0.03,-9.84,-6,-4,2
26393,-0.119,-0.005,0.121,-0.00,-0.03,-9.84,-6,-4,2
26394,-0.058,-0.005,-0.123,-0.00,-0.03,-9.84,-10,-4,10
26395,0.003,-0.066,-0.062,-0.00,0.05,-9.84,-10,-4,10
26396,-0.119,0.056,0.060,-0.00,0.05,-9.84,-13,-7,3
26397,0.064,-0.005,-0.001,-0.00,0.05,-9.84,-13,-7,3
26398,0.003,-0.005,-0.001,-0.00,0.05,-9.77,-5,-5,1
26399,0.003,-0.005,-0.001,-0.00,0.05,-9.77,-5,-5,1
26400,0.064,0.056,-0.123,-0.00,0.05,-9.77,-10,-6,2
26401,0.003,-0.005,-0.062,-0.00,0.05,-9.84,-10,-6,2
26402,-0.058,0.117,-0.001,-0.00,0.05,-9.84,-11,-1,3
26403,0.003,-0.066,-0.001,-0.00,0.05,-9.84,-11,-1,3
26404,0.064,-0.127,0.121,-0.00,0.05,-9.84,-7,3,-1
26405,0.003,0.056,-0.062,-0.00,0.05,-9.77,-7,3,-1
26406,-0.058,-0.005,-0.123,-0.00,0.05,-9.84,-14,-2,2
26407,0.064,0.117,-0.062,-0.00,0.05,-9.84,-14,-2,2
26408,0.003,-0.066,0.060,-0.00,-0.03,-9.77,-6,-8,4
26409,-0.058,-0.005,-0.001,-0.00,0.05,-9.77,-6,-8,4
26410,0.003,-0.066,0.060,-0.00,0.05,-9.77,-15,-5,3
26411,0.064,0.056,-0.062,-0.00,0.05,-9.84,-15,-5,3
26412,-0.058,-0.005,-0.001,-0.00,0.05,-9.84,-13,-3,1
26413,0.064,-0.005,-0.001,-0.00,0.05,-9.84,-13,-3,1
26414,0.064,-0.005,0.060,-0.00,-0.03,-9.84,-14,-4,0
26415,-0.119,0.056,-0.123,-0.00,0.05,-9.84,-14,-4,0
26416,0.064,-0.005,-0.001,-0.00,0.05,-9.84,-13,-1,3
26417,0.064,-0.066,0.060,-0.00,0.05,-9.84,-13,-1,3
26418,0.003,-0.066,-0.001,-0.00,0.05,-9.84,-6,-4,4
26419,0.064,0.056,-0.123,-0.00,0.05,-9.84,-6,-4,4
26420,0.003,-0.005,-0.001,-0.00,0.05,-9.84,-11,-3,1
26421,0.064,0.056,0.060,-0.00,-0.03,-9.84,-11,-3,1
26422,-0.058,-0.066,-0.001,-0.00,-0.03,-9.84,-14,0,-2
26423,0.003,-0.066,-0.062,-0.08,-0.03,-9.84,-14,0,-2
26424,0.064,-0.066,-0.001,-0.00,-0.03,-9.84,-14,-2,-8
26425,0.003,-0.005,0.121,-0.00,0.05,-9.84,-14,-2,-8
26426,0.003,0.056,0.060,-0.00,-0.03,-9.84,-9,-1,1
26427,-0.180,-0.005,0.060,-0.00,-0.03,-9.84,-9,-1,1
26428,0.125,-0.005,-0.001,-0.00,-0.03,-9.84,-9,-3,3
26429,0.125,-0.066,0.060,-0.00,0.05,-9.84,-9,-3,3
26430,0.003,0.117,-0.001,-0.00,0.05,-9.84,-6,-8,4
26431,0.125,-0.005,-0.001,-0.00,-0.03,-9.84,-6,-8,4
26432,0.125,-0.005,-0.123,-0.00,-0.03,-9.84,-9,-3,7
26433,-0.058,-0.005,-0.001,-0.00,-0.03,-9.84,-9,-3,7
26434,-0.058,0.056,-0.001,-0.00,-0.03,-9.84,-11,-3,3
26435,0.003,-0.127,0.060,-0.00,-0.03,-9.84,-11,-3,3
26436,0.003,-0.066,0.121,-0.00,-0.03,-9.84,-10,-6,6
26437,0.064,0.056,-0.062,-0.00,-0.03,-9.84,-10,-6,6
26438,0.064,0.117,-0.123,-0.00,-0.03,-9.84,-7,-3,1
26439,-0.058,-0.005,-0.001,-0.00,-0.03,-9.84,-7,-3,1
26440,0.064,-0.005,-0.062,-0.00,0.05,-9.84,-6,-8,2
26441,0.064,-0.005,-0.001,-0.00,0.05,-9.84,-6,-8,2
26442,0.003,0.056,0.121,-0.00,-0.03,-9.84,-14,-6,2
26443,0.003,-0.127,-0.001,-0.00,-0.03,-9.84,-14,-6,2
26444,0.186,0.056,-0.062,-0.00,-0.03,-9.84,-15,-3,1
26445,0.003,-0.005,-0.062,-0.00,-0.03,-9.84,-15,-3,1
26446,0.125,0.056,0.060,-0.00,-0.03,-9.84,-12,-4,0
26447,0.003,-0.066,0.060,-0.00,-0.03,-9.84,-12,-4,0
26448,0.003,0.056,-0.062,-0.00,-0.03,-9.84,-7,3,3
26449,0.064,-0.005,-0.001,-0.00,-0.03,-9.84,-7,3,3
26450,0.003,-0.188,0.121,-0.00,-0.03,-9.84,-7,-1,-1
26451,0.003,-0.127,-0.001,0.07,-0.03,-9.84,-7,-1,-1
26452,-0.058,-0.066,-0.001,0.07,0.05,-9.84,-3,-7,3
26453,0.064,-0.005,0.060,0.07,0.05,-9.77,-3,-7,3
26454,-0.058,-0.005,-0.001,-0.00,0.05,-9.77,-10,-8,0
26455,0.003,-0.066,-0.062,-0.00,-0.03,-9.77,-10,-8,0
26456,-0.119,-0.127,-0.001,-0.00,-0.03,-9.77,-13,-1,-3
26457,-0.119,-0.005,-0.001,-0.00,-0.03,-9.77,-13,-1,-3
26458,0.003,-0.066,-0.062,-0.00,-0.03,-9.84,-6,-2,-4
26459,0.064,-0.066,-0.001,-0.00,-0.03,-9.84,-6,-2,-4
26460,-0.058,-0.005,0.060,-0.00,-0.03,-9.84,-12,-4,0
26461,0.003,0.117,-0.001,-0.00,-0.03,-9.84,-12,-4,0
26462,0.003,0.117,0.060,-0.00,-0.03,-9.84,-5,-5,3
26463,0.064,0.056,0.060,-0.00,-0.03,-9.84,-5,-5,3
26464,-0.058,-0.066,-0.001,-0.00,-0.03,-9.84,-9,3,9
26465,-0.119,-0.005,-0.062,-0.00,-0.03,-9.84,-9,3,9
26466,-0.058,-0.066,-0.062,-0.00,-0.03,-9.84,-8,-6,8
26467,0.003,-0.066,-0.001,-0.00,-0.03,-9.84,-8,-6,8
26468,0.003,-0.066,0.060,-0.00,-0.03,-9.77,-9,-15,-1
26469,0.003,0.056,0.060,-0.00,-0.03,-9.77,-9,-15,-1
26470,0.003,-0.005,-0.062,-0.00,-0.03,-9.77,-11,-3,3
26471,-0.058,-0.005,0.060,-0.00,-0.03,-9.84,-11,-3,3
26472,-0.058,0.056,0.060,-0.00,-0.03,-9.77,-8,-4,2
26473,0.064,-0.005,-0.062,-0.00,-0.03,-9.77,-8,-4,2
26474,0.003,-0.005,0.060,-0.00,-0.03,-9.77,-6,-2,8
26475,0.003,0.056,0.060,-0.00,-0.03,-9.77,-6,-2,8
26476,0.125,-0.005,0.060,-0.00,-0.03,-9.77,-8,-2,-2
26477,0.003,0.117,-0.001,-0.00,-0.03,-9.77,-8,-2,-2
26478,0.064,-0.005,0.060,-0.00,-0.03,-9.77,-6,-6,-2
26479,-0.058,-0.005,-0.001,-0.00,0.05,-9.77,-6,-6,-2
26480,0.125,-0.005,-0.062,-0.00,0.05,-9.77,-12,0,4
26481,0.003,-0.127,-0.001,-0.00,-0.03,-9.77,-12,0,4
26482,-0.119,-0.066,-0.001,-0.00,-0.03,-9.77,-5,-3,3
26483,0.003,-0.005,-0.001,-0.00,-0.03,-9.77,-5,-3,3
26484,0.003,-0.005,-0.001,0.07,-0.03,-9.77,-7,-3,1
26485,0.125,0.056,-0.062,0.07,-0.03,-9.77,-7,-3,1
26486,-0.119,-0.005,-0.001,0.07,-0.03,-9.77,-11,-3,1
26487,0.003,-0.066,-0.001,-0.00,-0.03,-9.77,-11,-3,1
26488,0.003,-0.066,-0.062,-0.00,-0.03,-9.77,-7,-5,9
26489,-0.058,-0.005,-0.123,-0.00,-0.03,-9.77,-7,-5,9
26490,0.003,-0.005,-0.001,-0.00,-0.03,-9.77,-7,1,5
26491,-0.119,-0.005,-0.062,-0.00,-0.03,-9.77,-7,1,5
26492,-0.058,-0.005,-0.001,-0.00,-0.03,-9.77,-5,1,1
26493,0.125,-0.005,0.060,-0.00,-0.03,-9.84,-5,1,1
26494,0.003,0.056,0.060,-0.00,-0.03,-9.84,-8,-8,6
26495,-0.058,-0.005,0.060,-0.00,-0.03,-9.84,-8,-8,6
26496,0.003,-0.005,-0.001,-0.00,-0.03,-9.77,-10,-6,2
26497,0.003,-0.005,-0.062,-0.00,-0.03,-9.77,-10,-6,2
26498,-0.058,-0.005,-0.001,-0.00,-0.03,-9.77,-15,-1,3
26499,-0.058,-0.066,0.182,-0.00,-0.03,-9.84,-15,-1,3
26500,0.003,-0.005,-0.062,-0.00,-0.03,-9.84,-16,-6,-4
26501,-0.058,-0.066,-0.001,0.07,-0.03,-9.84,-16,-6,-4
26502,0.003,0.056,-0.001,-0.00,0.05,-9.84,-10,-2,2
26503,-0.119,0.056,-0.001,-0.00,0.05,-9.84,-10,-2,2
26504,-0.058,-0.005,0.121,-0.00,-0.03,-9.84,-18,-4,2
26505,0.064,-0.127,0.060,-0.00,-0.03,-9.84,-18,-4,2
26506,0.064,-0.005,0.060,-0.00,0.05,-9.84,-8,-2,0
26507,0.003,-0.005,-0.062,-0.00,0.05,-9.84,-8,-2,0
26508,0.003,-0.127,-0.001,-0.00,0.05,-9.84,-10,-10,4
26509,0.064,0.056,-0.001,-0.00,0.05,-9.77,-10,-10,4
26510,0.003,-0.005,-0.123,-0.00,0.05,-9.77,-11,-7,3
26511,0.064,-0.127,0.060,-0.00,0.05,-9.77,-11,-7,3
26512,0.125,-0.005,-0.062,-0.00,0.05,-9.77,-16,-6,0
26513,0.003,-0.005,-0.001,-0.00,0.05,-9.77,-16,-6,0
26514,0.125,-0.005,0.060,-0.00,0.05,-9.77,-8,-4,-2
26515,-0.119,0.056,-0.001,-0.00,0.05,-9.77,-8,-4,-2
26516,0.003,0.056,-0.062,-0.00,0.05,-9.77,-11,-9,11
26517,-0.058,0.117,-0.001,-0.00,0.05,-9.77,-11,-9,11
26518,0.064,0.056,0.060,-0.00,0.05,-9.77,-9,-5,5
26519,0.003,0.056,-0.062,-0.00,0.05,-9.77,-9,-5,5
26520,0.064,-0.066,-0.001,-0.00,0.05,-9.77,-10,-6,0
26521,0.003,-0.066,-0.001,-0.00,0.05,-9.77,-10,-6,0
26522,-0.058,-0.005,-0.062,-0.00,0.05,-9.84,-12,0,-2
26523,-0.058,-0.066,-0.062,-0.00,0.05,-9.84,-12,0,-2
26524,0.125,-0.005,-0.001,0.07,0.05,-9.84,-14,-2,2
26525,0.125,0.056,-0.001,-0.00,0.05,-9.84,-14,-2,2
26526,0.003,0.056,-0.123,-0.00,0.05,-9.84,-10,-4,8
26527,0.003,0.056,-0.062,-0.00,0.05,-9.84,-10,-4,8
26528,-0.058,-0.066,0.060,-0.00,0.05,-9.84,-13,-5,7
26529,0.003,0.056,-0.001,-0.00,0.05,-9.84,-13,-5,7
26530,-0.058,-0.127,-0.062,-0.00,0.05,-9.84,-12,-6,0
26531,-0.058,-0.005,-0.062,-0.00,0.05,-9.84,-12,-6,0
26532,0.064,-0.005,-0.001,-0.00,0.05,-9.84,-9,-3,5
26533,-0.058,0.117,-0.001,-0.00,0.05,-9.77,-9,-3,5
26534,-0.058,0.117,-0.001,0.07,0.05,-9.77,-9,-1,1
26535,0.064,-0.005,0.121,-0.00,0.05,-9.77,-9,-1,1
26536,-0.058,0.117,-0.062,-0.00,0.05,-9.77,-14,-6,8
26537,0.064,0.056,0.060,-0.00,0.05,-9.77,-14,-6,8
26538,0.003,-0.066,-0.001,-0.00,0.05,-9.77,-8,-8,6
26539,0.003,-0.005,-0.062,-0.00,-0.03,-9.77,-8,-8,6
26540,-0.119,-0.005,0.060,-0.00,-0.03,-9.77,-12,-2,0
26541,0.003,-0.066,-0.062,-0.00,-0.03,-9.77,-12,-2,0
26542,-0.058,0.056,-0.001,-0.00,-0.03,-9.77,-8,-6,4
26543,-0.058,0.117,-0.062,-0.00,-0.03,-9.77,-8,-6,4
26544,-0.058,-0.005,-0.001,-0.00,-0.03,-9.77,-7,-9,5
26545,0.003,-0.066,0.060,-0.00,-0.03,-9.77,-7,-9,5
26546,0.003,0.117,-0.062,-0.00,-0.03,-9.77,-13,1,-3
26547,0.003,-0.005,0.060,-0.00,-0.03,-9.77,-13,1,-3
26548,0.003,0.056,0.060,-0.00,-0.03,-9.77,-6,6,4
26549,0.003,-0.066,0.121,-0.00,-0.03,-9.77,-6,6,4
26550,0.003,-0.005,-0.062,-0.00,-0.03,-9.77,-11,-9,3
26551,0.064,-0.005,-0.001,-0.00,-0.03,-9.77,-11,-9,3
26552,-0.058,0.117,-0.062,-0.00,-0.03,-9.77,-6,2,8
26553,0.003,-0.188,0.121,-0.00,-0.03,-9.77,-6,2,8
26554,0.064,-0.005,0.060,-0.00,-0.11,-9.77,-13,3,1
26555,0.064,0.056,0.060,-0.00,-0.03,-9.77,-13,3,1
26556,0.003,-0.005,-0.062,-0.00,-0.03,-9.77,-13,-9,1
26557,0.003,-0.005,-0.062,-0.00,-0.03,-9.77,-13,-9,1
26558,-0.058,0.117,-0.001,-0.00,-0.03,-9.77,-14,-2,-2
26559,0.003,-0.005,-0.001,-0.00,-0.03,-9.77,-14,-2,-2
26560,0.064,-0.005,-0.062,-0.00,0.05,-9.77,-15,-3,7
26561,0.003,-0.066,0.060,-0.00,0.05,-9.77,-15,-3,7
26562,-0.119,0.056,-0.001,-0.00,0.05,-9.77,-8,-4,0
26563,-0.058,0.056,-0.062,-0.00,0.05,-9.77,-8,-4,0
26564,-0.119,0.117,-0.001,-0.00,0.05,-9.77,-7,-5,-3
26565,0.003,-0.005,-0.062,-0.00,0.05,-9.77,-7,-5,-3
26566,-0.302,0.117,-0.001,-0.00,0.05,-9.77,-9,-3,1
26567,-0.119,0.056,-0.062,-0.00,-0.03,-9.77,-9,-3,1
26568,0.003,0.117,-0.001,-0.00,-0.03,-9.77,-2,-4,-2
26569,0.003,0.056,-0.062,-0.00,-0.03,-9.77,-2,-4,-2
26570,0.003,-0.005,0.121,-0.00,-0.03,-9.77,-12,-8,8
26571,0.125,-0.066,-0.001,-0.00,-0.03,-9.77,-12,-8,8
26572,0.125,-0.127,-0.001,-0.00,-0.03,-9.77,-12,-2,6
26573,0.186,-0.127,0.121,-0.00,-0.03,-9.77,-12,-2,6
26574,0.125,0.056,-0.001,-0.00,-0.03,-9.77,-11,-7,1
26575,-0.058,-0.066,0.121,-0.00,-0.03,-9.77,-11,-7,1
26576,-0.058,0.056,0.060,-0.00,-0.03,-9.77,-9,-3,5
26577,-0.058,-0.127,0.060,-0.00,-0.03,-9.77,-9,-3,5
26578,0.064,-0.066,0.060,-0.00,-0.03,-9.77,-9,-7,5
26579,0.125,-0.005,-0.001,-0.00,0.05,-9.77,-9,-7,5
26580,0.125,0.056,0.060,-0.00,0.05,-9.77,-15,-5,3
26581,0.125,-0.005,-0.001,-0.00,0.05,-9.77,-15,-5,3
26582,0.186,-0.066,-0.001,-0.00,0.05,-9.77,-9,-1,3
26583,0.125,-0.066,-0.001,-0.00,0.05,-9.77,-9,-1,3
26584,0.125,-0.005,0.060,-0.00,0.05,-9.84,-14,-2,6
26585,0.003,0.056,-0.062,-0.00,0.05,-9.84,-14,-2,6
26586,-0.058,-0.127,-0.062,-0.00,0.05,-9.84,-7,-7,3
26587,-0.058,-0.066,-0.001,-0.00,0.05,-9.84,-7,-7,3
26588,0.064,-0.066,0.060,-0.00,0.05,-9.84,-9,-1,-1
26589,-0.119,0.117,0.060,-0.00,0.05,-9.84,-9,-1,-1
26590,0.003,-0.066,0.060,-0.00,-0.03,-9.84,-14,-2,2
26591,0.125,0.117,-0.001,-0.00,-0.03,-9.84,-14,-2,2
26592,0.064,0.056,-0.062,-0.00,-0.03,-9.77,-8,-2,0
26593,0.125,-0.005,-0.062,-0.00,-0.03,-9.77,-8,-2,0
26594,0.064,-0.005,-0.062,-0.00,-0.03,-9.77,-9,-9,1
26595,0.064,-0.005,0.060,-0.00,-0.03,-9.77,-9,-9,1
26596,0.003,-0.005,-0.001,-0.00,-0.03,-9.77,-12,0,2
26597,0.003,0.056,-0.123,-0.00,-0.03,-9.77,-12,0,2
26598,0.003,0.056,-0.062,-0.00,-0.03,-9.77,-10,-4,4
26599,0.003,0.117,-0.001,-0.00,-0.03,-9.77,-10,-4,4
26600,0.003,0.117,-0.123,-0.00,-0.03,-9.77,-12,-2,2
26601,-0.058,-0.005,0.121,-0.00,-0.03,-9.77,-12,-2,2
26602,0.064,-0.005,-0.001,-0.00,-0.03,-9.77,-9,-3,3
26603,0.003,0.056,-0.062,-0.00,0.05,-9.77,-9,-3,3
26604,0.003,-0.005,-0.062,-0.00,0.05,-9.77,-12,-2,2
26605,0.125,-0.005,-0.001,-0.00,-0.03,-9.77,-12,-2,2
26606,0.003,-0.005,-0.001,-0.00,0.05,-9.77,-12,-4,4
26607,-0.058,-0.005,0.060,-0.00,0.05,-9.84,-12,-4,4
26608,0.064,0.056,-0.062,-0.00,0.05,-9.84,-15,-7,-1
26609,0.003,-0.005,-0.062,-0.00,0.05,-9.84,-15,-7,-1
26610,-0.058,-0.005,-0.001,-0.00,0.05,-9.84,-14,0,2
26611,0.003,-0.005,-0.001,-0.00,0.05,-9.84,-14,0,2
26612,0.003,0.117,-0.062,-0.00,0.05,-9.84,-12,-6,6
26613,0.064,-0.005,0.060,-0.00,-0.03,-9.84,-12,-6,6
26614,0.003,-0.127,-0.001,-0.00,-0.03,-9.84,-9,-3,3
26615,-0.058,-0.066,-0.062,-0.08,-0.03,-9.84,-9,-3,3
26616,-0.058,0.056,0.060,-0.08,-0.03,-9.84,-13,-3,-1
26617,0.003,-0.005,-0.001,-0.08,-0.03,-9.84,-13,-3,-1
26618,-0.119,-0.066,-0.001,-0.08,-0.03,-9.84,-10,0,2
26619,0.064,-0.005,-0.123,-0.08,-0.03,-9.84,-10,0,2
26620,0.125,-0.127,-0.001,-0.08,-0.03,-9.84,-11,-5,3
26621,0.125,-0.066,-0.001,-0.08,-0.03,-9.84,-11,-5,3
26622,0.186,-0.066,-0.001,-0.00,-0.03,-9.84,-10,-2,4
26623,0.064,-0.005,-0.062,-0.00,-0.03,-9.84,-10,-2,4
26624,-0.058,-0.005,0.060,-0.00,-0.03,-9.84,-17,-5,3
26625,0.064,-0.066,-0.001,-0.00,-0.03,-9.84,-17,-5,3
26626,0.064,-0.005,-0.062,-0.00,-0.03,-9.84,-12,2,2
26627,0.064,0.117,-0.001,-0.00,-0.03,-9.84,-12,2,2
26628,0.003,-0.005,0.060,-0.00,-0.03,-9.84,-13,-7,1
26629,0.003,0.056,-0.001,-0.00,-0.03,-9.84,-13,-7,1
26630,-0.058,-0.066,0.060,-0.00,0.05,-9.84,-8,2,8
26631,0.003,-0.005,-0.001,-0.00,0.05,-9.84,-8,2,8
26632,0.064,0.056,0.121,-0.00,0.05,-9.84,-12,-2,2
26633,0.003,0.056,-0.123,-0.00,0.05,-9.84,-12,-2,2
26634,-0.119,0.117,-0.123,-0.00,0.05,-9.84,-7,-9,1
26635,0.003,0.056,0.060,-0.00,0.05,-9.84,-7,-9,1
26636,-0.058,0.117,-0.001,-0.00,0.05,-9.84,-11,-1,1
26637,-0.119,0.056,-0.001,-0.00,0.05,-9.84,-11,-1,1
26638,0.064,-0.066,0.060,-0.00,0.05,-9.84,-5,-3,1
26639,-0.058,-0.005,0.060,0.07,-0.03,-9.77,-5,-3,1
26640,0.064,-0.005,-0.001,-0.00,-0.03,-9.77,-11,-3,-1
26641,0.064,-0.005,-0.001,0.07,-0.03,-9.77,-11,-3,-1
26642,0.003,-0.005,-0.062,-0.00,-0.03,-9.77,-4,-8,4
26643,0.125,0.056,0.121,-0.00,-0.03,-9.77,-4,-8,4
26644,0.186,-0.066,0.060,-0.00,-0.03,-9.77,-19,-3,-1
26645,0.186,-0.066,-0.001,-0.00,-0.03,-9.77,-19,-3,-1
26646,0.003,-0.127,0.060,-0.00,-0.03,-9.84,-4,2,6
26647,0.125,-0.066,-0.062,-0.00,-0.03,-9.84,-4,2,6
26648,0.247,-0.249,-0.001,-0.00,-0.03,-9.84,-12,-2,2
26649,0.064,-0.127,-0.123,-0.00,-0.03,-9.84,-12,-2,2
26650,-0.058,-0.066,0.060,-0.00,-0.03,-9.84,-10,-4,-2
26651,-0.119,0.117,-0.001,-0.00,0.05,-9.84,-10,-4,-2
26652,-0.058,0.056,-0.001,-0.00,0.05,-9.84,-11,-9,3
26653,-0.058,0.117,-0.001,-0.00,0.05,-9.84,-11,-9,3
26654,0.064,0.179,0.060,-0.00,0.05,-9.84,-8,-6,2
26655,0.064,0.179,-0.062,-0.00,0.05,-9.84,-8,-6,2
26656,0.064,0.056,-0.062,-0.00,-0.03,-9.77,-12,-2,-2
26657,0.003,0.056,-0.123,-0.00,-0.03,-9.77,-12,-2,-2
26658,0.003,-0.005,0.060,-0.00,-0.03,-9.77,-9,-7,1
26659,-0.119,-0.066,-0.001,-0.00,-0.03,-9.77,-9,-7,1
26660,0.125,-0.127,0.060,-0.00,-0.03,-9.77,-9,-3,5
26661,0.003,-0.066,0.060,-0.00,-0.03,-9.77,-9,-3,5
26662,-0.119,0.056,0.060,-0.00,-0.03,-9.77,-9,1,5
26663,-0.119,-0.005,-0.001,-0.00,-0.03,-9.77,-9,1,5
26664,0.064,-0.066,0.243,-0.00,-0.03,-9.77,-16,-4,0
26665,0.186,0.056,-0.001,-0.00,-0.03,-9.77,-16,-4,0
26666,0.186,-0.005,0.060,-0.00,-0.03,-9.77,-11,-7,1
26667,0.125,-0.188,0.121,-0.00,-0.03,-9.77,-11,-7,1
26668,0.125,-0.188,0.060,-0.00,-0.03,-9.77,-10,-4,2
26669,0.125,-0.127,0.121,-0.00,-0.03,-9.77,-10,-4,2
26670,0.064,-0.005,-0.001,-0.00,-0.03,-9.77,-12,-4,4
26671,0.003,-0.127,-0.062,-0.00,-0.03,-9.77,-12,-4,4
26672,-0.119,-0.005,-0.123,-0.00,0.05,-9.77,-12,0,-2
26673,-0.180,-0.005,0.060,-0.00,0.05,-9.77,-12,0,-2
26674,0.064,0.056,-0.001,-0.00,0.05,-9.77,-13,-3,7
26675,0.003,0.117,-0.062,-0.00,-0.03,-9.77,-13,-3,7
26676,0.186,0.117,-0.123,-0.00,0.05,-9.77,-9,-7,5
26677,0.125,0.179,-0.123,-0.00,0.05,-9.77,-9,-7,5
26678,-0.058,-0.005,-0.184,-0.00,0.05,-9.77,-4,-2,6
26679,-0.180,0.056,-0.062,-0.00,0.05,-9.77,-4,-2,6
26680,-0.363,0.117,-0.062,-0.00,0.05,-9.77,-12,-6,6
26681,-0.302,-0.005,-0.001,-0.00,0.05,-9.77,-12,-6,6
26682,-0.425,0.117,0.060,-0.00,-0.03,-9.77,-12,-4,4
26683,-0.302,0.179,0.243,-0.00,-0.03,-9.77,-12,-4,4
26684,-0.241,0.240,0.060,-0.00,-0.03,-9.77,-14,-2,6
26685,0.247,0.117,0.243,-0.00,-0.03,-9.77,-14,-2,6
26686,0.552,0.056,0.060,0.07,-0.03,-9.84,-16,0,0
26687,0.857,0.056,0.060,0.07,-0.03,-9.84,-16,0,0
26688,0.552,-0.066,-0.062,0.07,-0.03,-9.77,-16,-4,4
26689,0.430,-0.188,0.121,0.07,-0.03,-9.77,-16,-4,4
26690,0.186,-0.493,-0.062,0.07,-0.03,-9.84,-12,-8,4
26691,0.064,-0.249,-0.001,0.07,0.05,-9.84,-12,-8,4
26692,-0.241,-0.188,0.060,0.07,0.05,-9.77,-13,-3,3
26693,-0.425,-0.188,0.060,-0.00,0.05,-9.77,-13,-3,3
26694,-0.486,-0.188,-0.001,-0.00,0.05,-9.77,-7,-7,5
26695,-0.425,0.056,-0.062,-0.00,0.05,-9.84,-7,-7,5
26696,-0.241,0.056,-0.062,-0.00,0.05,-9.84,-13,-5,-3
26697,0.003,-0.005,-0.062,-0.00,-0.03,-9.77,-13,-5,-3
26698,0.247,0.056,-0.001,-0.00,-0.03,-9.77,-8,-2,6
26699,0.369,0.117,0.060,-0.00,-0.03,-9.77,-8,-2,6
26700,0.430,-0.005,-0.001,-0.00,-0.03,-9.77,-9,-7,1
26701,0.308,-0.066,-0.001,-0.00,0.05,-9.77,-9,-7,1
26702,0.369,-0.066,-0.062,-0.00,0.05,-9.77,-9,-5,3
26703,0.064,-0.005,0.060,-0.00,0.05,-9.77,-9,-5,3
26704,-0.241,-0.066,-0.062,-0.00,0.05,-9.77,-10,-4,4
26705,-0.363,0.056,-0.062,-0.00,0.05,-9.77,-10,-4,4
