nr,time,flyState,ax,ay,az,gx,gy,gz,height_speed,set_h,height,throttle,set_pitch,pitch,set_roll,roll,set_yaw,yaw,motval_0,motval_1, motval_2,motval_3,hor_xv,hor_yv, hor_dt,hor_seqNum,xPos,yPos,targetXVel,targetYVel,targetPitch, targetRoll, adj_pitch, adj_roll, adj_yaw, adj_h
15,946684902.453369,1,-0.058248,0.017628,-9.803100,0.000000,0.196539,0.019532,3.744250,0.000000,0.299540,0.000000,0.000000,0.003616,0.000000,0.000186,0.000000,-0.015437,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,946684902.453582,1,-0.058248,0.017628,-9.803100,0.061037,-0.047609,0.080569,3.744250,0.000000,0.299540,0.000000,0.000000,0.003419,0.000000,0.000254,0.000000,-0.015420,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,946684902.453796,1,-0.058248,0.017628,-9.803100,0.061037,-0.108646,-0.102542,3.744250,0.000000,0.299540,0.000000,0.000000,0.003209,0.000000,0.000323,0.000000,-0.015442,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,946684902.454315,1,-0.058248,0.017628,-9.803100,-0.061037,-0.108646,0.019532,3.744250,0.000000,0.299540,0.000000,0.000000,0.002967,0.000000,0.000347,0.000000,-0.015432,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,946684902.455932,1,-0.058248,0.017628,-9.803100,-0.061037,0.196539,-0.041505,3.744250,0.000000,0.299540,0.000000,0.000000,0.003097,0.000000,0.000305,0.000000,-0.015499,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,946684902.456146,1,-0.058248,0.017628,-9.803100,-0.061037,0.074465,0.080569,0.000000,0.000000,0.299540,0.000000,0.000000,0.002926,0.000000,0.000348,0.000000,-0.015482,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,946684902.456390,1,-0.058248,0.017628,-9.803100,-0.061037,0.074465,-0.163579,0.000000,0.000000,0.299540,0.000000,0.000000,0.002757,0.000000,0.000389,0.000000,-0.015521,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,946684902.456726,1,-0.058248,0.017628,-9.803100,0.000000,-0.047609,0.080569,0.000000,0.000000,0.299540,0.000000,0.000000,0.002554,0.000000,0.000445,0.000000,-0.015494,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,946684902.458221,1,-0.058248,0.017628,-9.803100,0.000000,0.013428,0.080569,0.000000,0.000000,0.299540,0.000000,0.000000,0.002386,0.000000,0.000501,0.000000,-0.015374,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,946684902.458465,1,-0.058248,0.017628,-9.879741,0.061037,0.074465,0.080569,0.000000,0.000000,0.299540,0.000000,0.000000,0.002218,0.000000,0.000571,0.000000,-0.015354,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,946684902.458679,1,-0.058248,0.017628,-9.803100,0.000000,0.074465,0.141606,0.000000,0.000000,0.299540,0.000000,0.000000,0.002046,0.000000,0.000627,0.000000,-0.015324,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,946684902.458892,1,-0.058248,0.017628,-9.803100,-0.061037,-0.047609,0.080569,0.000000,0.000000,0.299540,0.000000,0.000000,0.001849,0.000000,0.000670,0.000000,-0.015307,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,946684902.459106,1,-0.058248,0.017628,-9.803100,0.122074,0.013428,0.080569,0.000000,0.000000,0.299540,0.000000,0.000000,0.001664,0.000000,0.000753,0.000000,-0.015290,0.000000,0.000000,0.000000,0.000000,0.245138,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,946684902.460906,1,-0.058248,0.017628,-9.803100,0.000000,-0.047609,0.019532,-0.004250,0.000000,0.299200,0.000000,0.000000,0.001390,0.000000,0.000809,0.000000,-0.015254,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,946684902.461212,1,-0.058248,0.017628,-9.803100,0.000000,0.135502,-0.041505,-0.004250,0.000000,0.299200,0.000000,0.000000,0.001244,0.000000,0.000865,0.000000,-0.015267,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,946684902.461425,1,0.018393,0.017628,-9.803100,-0.061037,0.013428,-0.041505,-0.004250,0.000000,0.299200,0.000000,0.000000,0.001305,0.000000,0.000908,0.000000,-0.015276,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,946684902.461669,1,0.018393,0.017628,-9.803100,0.061037,0.074465,0.141606,-0.004250,0.000000,0.299200,0.000000,0.000000,0.001382,0.000000,0.000979,0.000000,-0.015241,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32,946684902.461883,1,0.018393,0.017628,-9.803100,0.000000,-0.047609,0.019532,-0.004250,0.000000,0.299200,0.000000,0.000000,0.001430,0.000000,0.001035,0.000000,-0.015237,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
33,946684902.462127,1,0.018393,0.017628,-9.803100,0.061037,0.135502,0.019532,-0.004250,0.000000,0.299200,0.000000,0.000000,0.001521,0.000000,0.001106,0.000000,-0.015232,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
