ax,ay,az,gx,gy,gz,mx,my,mz
0.057,0.021,9.830,-0.04,-0.07,+0.04,36,-74,30
0.057,0.021,9.830,-0.04,+0.12,-0.02,35,-73,29
0.057,0.021,9.830,+0.08,+0.12,-0.08,35,-73,29
0.057,0.021,9.830,+0.08,-0.01,+0.04,32,-72,32
0.057,0.021,9.830,-0.04,-0.01,-0.02,32,-72,32
-0.020,0.021,9.830,+0.08,-0.01,-0.02,29,-65,31
-0.020,0.021,9.830,-0.10,-0.07,-0.08,29,-65,31
-0.020,0.021,9.830,+0.02,-0.07,-0.02,31,-73,29
0.057,0.021,9.830,-0.04,+0.06,-0.02,31,-73,29
0.057,0.021,9.830,-0.04,+0.06,-0.02,36,-76,28
0.057,0.021,9.830,-0.04,-0.13,+0.10,36,-76,28
-0.020,0.021,9.830,+0.02,-0.07,-0.02,34,-72,28
0.057,-0.056,9.830,-0.04,-0.13,-0.02,34,-72,28
-0.020,-0.056,9.830,-0.04,-0.07,-0.02,32,-72,26
-0.020,-0.056,9.830,+0.02,-0.13,-0.08,32,-72,26
-0.020,-0.056,9.830,+0.08,-0.07,+0.10,34,-72,24
-0.020,-0.056,9.753,+0.02,+0.06,-0.02,34,-72,24
-0.020,-0.056,9.753,+0.02,-0.25,+0.04,32,-74,34
-0.020,-0.056,9.753,-0.04,+0.06,-0.02,32,-74,34
-0.020,0.021,9.753,-0.04,+0.12,-0.02,30,-74,32
-0.020,0.021,9.753,-0.04,+0.12,-0.08,30,-74,32
-0.020,0.021,9.753,-0.04,-0.07,+0.10,37,-69,31
-0.020,0.021,9.753,-0.10,-0.19,+0.04,37,-69,31
-0.020,0.021,9.830,+0.08,-0.01,+0.10,36,-74,30
-0.020,0.021,9.830,+0.02,-0.07,+0.16,36,-74,30
-0.020,0.021,9.830,+0.02,+0.06,+0.04,34,-66,32
-0.020,0.021,9.830,+0.08,+0.06,-0.08,34,-66,32
-0.020,0.021,9.830,-0.10,-0.07,+0.04,29,-69,29
-0.020,0.021,9.830,-0.04,-0.07,+0.04,29,-69,29
-0.020,0.021,9.830,+0.02,-0.01,+0.04,35,-67,27
-0.020,0.021,9.830,-0.10,-0.07,+0.10,35,-67,27
-0.020,0.021,9.830,+0.02,-0.01,+0.04,34,-70,32
-0.020,0.021,9.830,+0.02,-0.07,-0.14,34,-70,32
