cnt,flyState,setpoint.h [m],setpoint.pitch [deg],setpoint.roll [deg],setpoint.yaw [deg],motval_avg [frac],motval_0 [frac],motval_1 [frac],motval_2 [frac],motval_3 [frac],hor_velocities.xv,hor_velocities.yv,hor_velocities.dt,hor_velocities.seqNum,att.ts [s],att.ax [m/s^2],att.ay [m/s^2],att.az [m/s^2],att.gx [deg/s],att.gx_kalman [deg/s],att.gx_bias_kalman [deg/s],att.gy [deg/s],att.gy_kalman [deg/s],att.gy_bias_kalman [deg/s],att.gz [deg/s],att.hv [m/sec],att.h [m],att.pitch [deg],att.roll [deg],att.yaw [deg],xPos [m],yPos [m],targetXVel [m/s],targetYVel [m/s],targetPitch [deg],targetRoll [deg],adj_pitch,adj_roll,adj_yaw,adj_h
1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,946693330.112548,-39.163357,39.776482,-48.436874,6.164739,0.000000,0.000000,6.042665,0.000000,0.000000,-0.793481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.596899,-0.596899,0.033721,4,946693330.469482,0.652980,0.514642,-9.829160,-0.243843,-0.243842,-0.000001,0.027772,0.027773,-0.000001,-0.079653,0.000000,0.805120,0.057339,-0.061865,0.015123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.596899,-0.596899,0.033721,4,946693330.469848,0.652980,0.591282,-9.829160,-0.121769,-0.121765,-0.000004,0.210883,0.210887,-0.000004,0.103458,0.000000,0.805120,0.059351,-0.060097,0.015161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.596899,-0.596899,0.033721,4,946693330.470001,0.652980,0.514642,-9.829160,-0.304880,-0.304873,-0.000007,0.088809,0.088816,-0.000008,0.042421,0.000000,0.805120,0.061299,-0.058563,0.015167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.596647,-0.596647,0.033721,4,946693330.470153,0.652980,0.514642,-9.829160,-0.182806,-0.182795,-0.000011,0.149846,0.149857,-0.000013,0.042421,10.059750,0.804780,0.063255,-0.057011,0.015174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.586540,-0.586540,0.034302,5,946693330.472869,0.652980,0.514642,-9.829160,-0.243843,-0.243816,-0.000027,0.210883,0.210910,-0.000033,0.042421,10.059750,0.804780,0.065773,-0.056083,0.015289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.586540,-0.586540,0.034302,5,946693330.473144,0.652980,0.514642,-9.829160,-0.182806,-0.182761,-0.000046,0.088809,0.088854,-0.000055,-0.079653,10.059750,0.804780,0.067742,-0.054544,0.015267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.586540,-0.586540,0.034302,5,946693330.473297,0.652980,0.514642,-9.829160,-0.182806,-0.182742,-0.000064,0.088809,0.088873,-0.000078,0.042421,10.059750,0.804780,0.069700,-0.052983,0.015273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.586540,-0.586540,0.034302,5,946693330.473449,0.652980,0.514642,-9.829160,-0.182806,-0.182722,-0.000084,0.088809,0.088893,-0.000102,0.103458,10.059750,0.804780,0.071656,-0.051422,0.015289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.586540,-0.586540,0.034302,5,946693330.473571,0.652980,0.514642,-9.829160,-0.243843,-0.243739,-0.000104,0.210883,0.210987,-0.000127,0.103458,10.059750,0.804780,0.073623,-0.049865,0.015302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
